Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,TotalAmount
50120,J010,Wool Blanket,4,2010-01-04,27.99,100727,United Kingdom,111.96
50121,C003,Premium Gift Box Set,22,2010-01-04,29.99,100418,United Kingdom,659.78
50122,C003,Premium Gift Box Set,8,2010-01-04,29.99,100473,United Kingdom,239.92
50123,A001,Ceramic Coffee Mug Set,8,2010-01-04,15.99,100734,United Kingdom,127.92
50124,E005,Scented Candle Set,7,2010-01-04,18.99,100495,United Kingdom,132.92999999999998
50125,C003,Premium Gift Box Set,22,2010-01-04,29.99,100149,United Kingdom,659.78
50126,C003,Premium Gift Box Set,24,2010-01-04,29.99,100521,Spain,719.76
50127,B002,Decorative Wall Clock,5,2010-01-04,24.99,100792,United Kingdom,124.94999999999999
50128,I009,Silver Earrings,5,2010-01-04,19.99,100003,United Kingdom,99.94999999999999
50129,J010,Wool Blanket,10,2010-01-04,27.99,100676,United Kingdom,279.9
50130,H008,Chocolate Gift Box,9,2010-01-04,14.99,100496,United Kingdom,134.91
50131,I009,Silver Earrings,7,2010-01-05,19.99,100467,United Kingdom,139.92999999999998
50132,D004,Leather Journal,10,2010-01-05,12.99,100393,United Kingdom,129.9
50133,G007,Silk Scarf,1,2010-01-05,22.99,100326,Spain,22.99
50134,G007,Silk Scarf,7,2010-01-05,22.99,100680,Germany,160.92999999999998
50135,H008,Chocolate Gift Box,1,2010-01-05,14.99,100130,United Kingdom,14.99
50136,F006,Wooden Photo Frame,2,2010-01-05,9.99,100451,United Kingdom,19.98
50137,H008,Chocolate Gift Box,1,2010-01-05,14.99,100740,United Kingdom,14.99
50138,A001,Ceramic Coffee Mug Set,2,2010-01-05,15.99,100481,United Kingdom,31.98
50139,G007,Silk Scarf,2,2010-01-05,22.99,100337,Germany,45.98
50140,G007,Silk Scarf,6,2010-01-05,22.99,100642,USA,137.94
50141,H008,Chocolate Gift Box,9,2010-01-05,14.99,100037,France,134.91
50142,C003,Premium Gift Box Set,25,2010-01-05,29.99,100701,United Kingdom,749.75
50143,B002,Decorative Wall Clock,7,2010-01-05,24.99,100101,Italy,174.92999999999998
50144,B002,Decorative Wall Clock,8,2010-01-05,24.99,100171,USA,199.92
50145,C003,Premium Gift Box Set,6,2010-01-05,29.99,100333,United Kingdom,179.94
50146,F006,Wooden Photo Frame,7,2010-01-05,9.99,100150,United Kingdom,69.93
50147,J010,Wool Blanket,3,2010-01-05,27.99,100175,United Kingdom,83.97
50148,C003,Premium Gift Box Set,17,2010-01-05,29.99,100635,Germany,509.83
50149,C003,Premium Gift Box Set,23,2010-01-05,29.99,100147,United Kingdom,689.77
50150,E005,Scented Candle Set,8,2010-01-05,18.99,100262,Germany,151.92
50151,C003,Premium Gift Box Set,19,2010-01-05,29.99,100295,Germany,569.81
50152,B002,Decorative Wall Clock,8,2010-01-05,24.99,100354,France,199.92
50153,G007,Silk Scarf,5,2010-01-05,22.99,100468,United Kingdom,114.94999999999999
50154,C003,Premium Gift Box Set,17,2010-01-05,29.99,100495,United Kingdom,509.83
50155,C003,Premium Gift Box Set,23,2010-01-05,29.99,100368,France,689.77
50156,E005,Scented Candle Set,1,2010-01-05,18.99,100675,United Kingdom,18.99
50157,J010,Wool Blanket,1,2010-01-05,27.99,100621,Spain,27.99
50158,E005,Scented Candle Set,4,2010-01-05,18.99,100622,United Kingdom,75.96
50159,C003,Premium Gift Box Set,11,2010-01-05,29.99,100636,United Kingdom,329.89
50160,A001,Ceramic Coffee Mug Set,2,2010-01-05,15.99,100643,Germany,31.98
50161,C003,Premium Gift Box Set,19,2010-01-05,29.99,100035,France,569.81
50162,A001,Ceramic Coffee Mug Set,2,2010-01-05,15.99,100303,United Kingdom,31.98
50163,A001,Ceramic Coffee Mug Set,4,2010-01-05,15.99,100136,United Kingdom,63.96
50164,F006,Wooden Photo Frame,9,2010-01-05,9.99,100514,United Kingdom,89.91
50165,E005,Scented Candle Set,8,2010-01-05,18.99,100303,Spain,151.92
50166,B002,Decorative Wall Clock,8,2010-01-05,24.99,100078,United Kingdom,199.92
50167,D004,Leather Journal,7,2010-01-05,12.99,100571,United Kingdom,90.93
50168,C003,Premium Gift Box Set,17,2010-01-05,29.99,100015,United Kingdom,509.83
50169,H008,Chocolate Gift Box,6,2010-01-05,14.99,100689,Spain,89.94
50170,J010,Wool Blanket,7,2010-01-05,27.99,100654,United Kingdom,195.92999999999998
50171,C003,Premium Gift Box Set,12,2010-01-05,29.99,100483,United Kingdom,359.88
50172,I009,Silver Earrings,6,2010-01-05,19.99,100625,United Kingdom,119.94
50173,H008,Chocolate Gift Box,5,2010-01-05,14.99,100665,United Kingdom,74.95
50174,C003,Premium Gift Box Set,6,2010-01-05,29.99,100039,United Kingdom,179.94
50175,B002,Decorative Wall Clock,2,2010-01-05,24.99,100241,United Kingdom,49.98
50176,C003,Premium Gift Box Set,19,2010-01-05,29.99,100380,Germany,569.81
50177,I009,Silver Earrings,7,2010-01-05,19.99,100602,Spain,139.92999999999998
50178,G007,Silk Scarf,2,2010-01-05,22.99,100502,France,45.98
50179,E005,Scented Candle Set,1,2010-01-05,18.99,100707,United Kingdom,18.99
50180,C003,Premium Gift Box Set,19,2010-01-05,29.99,100242,United Kingdom,569.81
50181,C003,Premium Gift Box Set,16,2010-01-05,29.99,100558,Germany,479.84
50182,C003,Premium Gift Box Set,13,2010-01-06,29.99,100195,United Kingdom,389.87
50183,H008,Chocolate Gift Box,2,2010-01-06,14.99,100679,United Kingdom,29.98
50184,J010,Wool Blanket,1,2010-01-06,27.99,100052,United Kingdom,27.99
50185,C003,Premium Gift Box Set,9,2010-01-06,29.99,100579,United Kingdom,269.90999999999997
50186,C003,Premium Gift Box Set,22,2010-01-06,29.99,100213,France,659.78
50187,C003,Premium Gift Box Set,12,2010-01-06,29.99,100337,Italy,359.88
50188,C003,Premium Gift Box Set,24,2010-01-06,29.99,100003,United Kingdom,719.76
50189,A001,Ceramic Coffee Mug Set,3,2010-01-06,15.99,100554,United Kingdom,47.97
50190,B002,Decorative Wall Clock,1,2010-01-06,24.99,100135,United Kingdom,24.99
50191,D004,Leather Journal,10,2010-01-06,12.99,100332,United Kingdom,129.9
50192,C003,Premium Gift Box Set,6,2010-01-06,29.99,100130,Spain,179.94
50193,B002,Decorative Wall Clock,2,2010-01-06,24.99,100488,United Kingdom,49.98
50194,I009,Silver Earrings,10,2010-01-06,19.99,100112,United Kingdom,199.89999999999998
50195,J010,Wool Blanket,1,2010-01-06,27.99,100745,Germany,27.99
50196,H008,Chocolate Gift Box,1,2010-01-06,14.99,100063,United Kingdom,14.99
50197,G007,Silk Scarf,2,2010-01-06,22.99,100503,USA,45.98
50198,B002,Decorative Wall Clock,2,2010-01-06,24.99,100330,France,49.98
50199,C003,Premium Gift Box Set,9,2010-01-06,29.99,100282,France,269.90999999999997
50200,I009,Silver Earrings,6,2010-01-06,19.99,100391,France,119.94
50201,H008,Chocolate Gift Box,9,2010-01-06,14.99,100620,United Kingdom,134.91
50202,C003,Premium Gift Box Set,8,2010-01-06,29.99,100671,Germany,239.92
50203,I009,Silver Earrings,4,2010-01-06,19.99,100441,United Kingdom,79.96
50204,G007,Silk Scarf,6,2010-01-06,22.99,100465,United Kingdom,137.94
50205,B002,Decorative Wall Clock,6,2010-01-06,24.99,100438,United Kingdom,149.94
50206,F006,Wooden Photo Frame,3,2010-01-06,9.99,100704,United Kingdom,29.97
50207,C003,Premium Gift Box Set,7,2010-01-06,29.99,100096,United Kingdom,209.92999999999998
50208,C003,Premium Gift Box Set,16,2010-01-06,29.99,100134,France,479.84
50209,C003,Premium Gift Box Set,22,2010-01-06,29.99,100576,United Kingdom,659.78
50210,G007,Silk Scarf,6,2010-01-06,22.99,100682,Spain,137.94
50211,C003,Premium Gift Box Set,14,2010-01-06,29.99,100615,United Kingdom,419.85999999999996
50212,J010,Wool Blanket,9,2010-01-06,27.99,100218,United Kingdom,251.91
50213,D004,Leather Journal,2,2010-01-06,12.99,100359,France,25.98
50214,E005,Scented Candle Set,10,2010-01-06,18.99,100232,United Kingdom,189.89999999999998
50215,J010,Wool Blanket,10,2010-01-06,27.99,100692,Germany,279.9
50216,J010,Wool Blanket,5,2010-01-06,27.99,100030,United Kingdom,139.95
50217,E005,Scented Candle Set,6,2010-01-06,18.99,100360,United Kingdom,113.94
50218,C003,Premium Gift Box Set,9,2010-01-06,29.99,100580,Germany,269.90999999999997
50219,A001,Ceramic Coffee Mug Set,1,2010-01-06,15.99,100094,Spain,15.99
50220,G007,Silk Scarf,7,2010-01-06,22.99,100465,United Kingdom,160.92999999999998
50221,C003,Premium Gift Box Set,14,2010-01-06,29.99,100739,United Kingdom,419.85999999999996
50222,J010,Wool Blanket,10,2010-01-06,27.99,100087,United Kingdom,279.9
50223,C003,Premium Gift Box Set,24,2010-01-06,29.99,100051,Germany,719.76
50224,C003,Premium Gift Box Set,19,2010-01-06,29.99,100678,United Kingdom,569.81
50225,H008,Chocolate Gift Box,7,2010-01-06,14.99,100280,United Kingdom,104.93
50226,B002,Decorative Wall Clock,6,2010-01-06,24.99,100441,United Kingdom,149.94
50227,J010,Wool Blanket,8,2010-01-06,27.99,100540,Germany,223.92
50228,D004,Leather Journal,7,2010-01-06,12.99,100614,United Kingdom,90.93
50229,C003,Premium Gift Box Set,14,2010-01-06,29.99,100217,Italy,419.85999999999996
50230,C003,Premium Gift Box Set,13,2010-01-06,29.99,100297,United Kingdom,389.87
50231,C003,Premium Gift Box Set,20,2010-01-06,29.99,100765,United Kingdom,599.8
50232,C003,Premium Gift Box Set,17,2010-01-06,29.99,100546,USA,509.83
50233,C003,Premium Gift Box Set,22,2010-01-06,29.99,100685,United Kingdom,659.78
50234,C003,Premium Gift Box Set,18,2010-01-07,29.99,100020,United Kingdom,539.8199999999999
50235,F006,Wooden Photo Frame,10,2010-01-07,9.99,100440,France,99.9
50236,G007,Silk Scarf,5,2010-01-07,22.99,100118,United Kingdom,114.94999999999999
50237,C003,Premium Gift Box Set,15,2010-01-07,29.99,100176,France,449.84999999999997
50238,F006,Wooden Photo Frame,2,2010-01-07,9.99,100448,United Kingdom,19.98
50239,C003,Premium Gift Box Set,23,2010-01-07,29.99,100411,United Kingdom,689.77
50240,C003,Premium Gift Box Set,14,2010-01-07,29.99,100764,United Kingdom,419.85999999999996
50241,C003,Premium Gift Box Set,10,2010-01-07,29.99,100079,United Kingdom,299.9
50242,I009,Silver Earrings,9,2010-01-07,19.99,100199,Italy,179.91
50243,A001,Ceramic Coffee Mug Set,4,2010-01-07,15.99,100106,United Kingdom,63.96
50244,A001,Ceramic Coffee Mug Set,10,2010-01-07,15.99,100157,Italy,159.9
50245,B002,Decorative Wall Clock,3,2010-01-07,24.99,100792,Germany,74.97
50246,J010,Wool Blanket,10,2010-01-07,27.99,100460,Germany,279.9
50247,J010,Wool Blanket,10,2010-01-07,27.99,100331,Germany,279.9
50248,H008,Chocolate Gift Box,2,2010-01-07,14.99,100481,United Kingdom,29.98
50249,E005,Scented Candle Set,10,2010-01-07,18.99,100058,United Kingdom,189.89999999999998
50250,E005,Scented Candle Set,8,2010-01-07,18.99,100463,United Kingdom,151.92
50251,C003,Premium Gift Box Set,14,2010-01-07,29.99,100079,Germany,419.85999999999996
50252,B002,Decorative Wall Clock,10,2010-01-07,24.99,100609,United Kingdom,249.89999999999998
50253,J010,Wool Blanket,9,2010-01-07,27.99,100757,United Kingdom,251.91
50254,J010,Wool Blanket,4,2010-01-07,27.99,100330,France,111.96
50255,A001,Ceramic Coffee Mug Set,1,2010-01-07,15.99,100462,United Kingdom,15.99
50256,F006,Wooden Photo Frame,2,2010-01-07,9.99,100517,Germany,19.98
50257,C003,Premium Gift Box Set,12,2010-01-07,29.99,100725,United Kingdom,359.88
50258,I009,Silver Earrings,9,2010-01-07,19.99,100625,United Kingdom,179.91
50259,E005,Scented Candle Set,7,2010-01-07,18.99,100419,Italy,132.92999999999998
50260,J010,Wool Blanket,1,2010-01-07,27.99,100647,Germany,27.99
50261,F006,Wooden Photo Frame,2,2010-01-07,9.99,100572,Germany,19.98
50262,E005,Scented Candle Set,10,2010-01-07,18.99,100154,United Kingdom,189.89999999999998
50263,C003,Premium Gift Box Set,9,2010-01-07,29.99,100359,United Kingdom,269.90999999999997
50264,G007,Silk Scarf,3,2010-01-07,22.99,100610,USA,68.97
50265,E005,Scented Candle Set,9,2010-01-07,18.99,100386,Germany,170.91
50266,A001,Ceramic Coffee Mug Set,9,2010-01-07,15.99,100096,Germany,143.91
50267,I009,Silver Earrings,6,2010-01-07,19.99,100019,United Kingdom,119.94
50268,C003,Premium Gift Box Set,11,2010-01-08,29.99,100350,Italy,329.89
50269,D004,Leather Journal,3,2010-01-08,12.99,100159,United Kingdom,38.97
50270,B002,Decorative Wall Clock,9,2010-01-08,24.99,100790,United Kingdom,224.91
50271,I009,Silver Earrings,1,2010-01-08,19.99,100678,United Kingdom,19.99
50272,J010,Wool Blanket,3,2010-01-08,27.99,100612,United Kingdom,83.97
50273,C003,Premium Gift Box Set,10,2010-01-08,29.99,100710,Italy,299.9
50274,A001,Ceramic Coffee Mug Set,8,2010-01-08,15.99,100045,United Kingdom,127.92
50275,D004,Leather Journal,8,2010-01-08,12.99,100626,United Kingdom,103.92
50276,H008,Chocolate Gift Box,4,2010-01-08,14.99,100547,United Kingdom,59.96
50277,H008,Chocolate Gift Box,4,2010-01-08,14.99,100377,Germany,59.96
50278,H008,Chocolate Gift Box,8,2010-01-08,14.99,100788,United Kingdom,119.92
50279,I009,Silver Earrings,9,2010-01-08,19.99,100429,United Kingdom,179.91
50280,J010,Wool Blanket,3,2010-01-08,27.99,100257,United Kingdom,83.97
50281,F006,Wooden Photo Frame,9,2010-01-08,9.99,100106,USA,89.91
50282,B002,Decorative Wall Clock,5,2010-01-08,24.99,100086,Italy,124.94999999999999
50283,C003,Premium Gift Box Set,19,2010-01-08,29.99,100526,United Kingdom,569.81
50284,B002,Decorative Wall Clock,4,2010-01-08,24.99,100462,United Kingdom,99.96
50285,G007,Silk Scarf,1,2010-01-08,22.99,100406,United Kingdom,22.99
50286,G007,Silk Scarf,2,2010-01-08,22.99,100384,United Kingdom,45.98
50287,C003,Premium Gift Box Set,8,2010-01-08,29.99,100732,Germany,239.92
50288,A001,Ceramic Coffee Mug Set,3,2010-01-08,15.99,100040,United Kingdom,47.97
50289,H008,Chocolate Gift Box,3,2010-01-08,14.99,100778,USA,44.97
50290,J010,Wool Blanket,1,2010-01-08,27.99,100082,United Kingdom,27.99
50291,A001,Ceramic Coffee Mug Set,9,2010-01-08,15.99,100745,France,143.91
50292,B002,Decorative Wall Clock,5,2010-01-08,24.99,100244,United Kingdom,124.94999999999999
50293,C003,Premium Gift Box Set,12,2010-01-08,29.99,100430,Germany,359.88
50294,H008,Chocolate Gift Box,2,2010-01-08,14.99,100114,United Kingdom,29.98
50295,C003,Premium Gift Box Set,25,2010-01-08,29.99,100528,France,749.75
50296,C003,Premium Gift Box Set,9,2010-01-08,29.99,100299,United Kingdom,269.90999999999997
50297,C003,Premium Gift Box Set,16,2010-01-08,29.99,100247,France,479.84
50298,B002,Decorative Wall Clock,9,2010-01-08,24.99,100370,United Kingdom,224.91
50299,I009,Silver Earrings,9,2010-01-08,19.99,100520,France,179.91
50300,C003,Premium Gift Box Set,20,2010-01-08,29.99,100045,Germany,599.8
50301,F006,Wooden Photo Frame,5,2010-01-08,9.99,100766,United Kingdom,49.95
50302,B002,Decorative Wall Clock,6,2010-01-08,24.99,100247,Spain,149.94
50303,B002,Decorative Wall Clock,10,2010-01-08,24.99,100753,Spain,249.89999999999998
50304,C003,Premium Gift Box Set,16,2010-01-08,29.99,100560,United Kingdom,479.84
50305,A001,Ceramic Coffee Mug Set,8,2010-01-08,15.99,100713,United Kingdom,127.92
50306,A001,Ceramic Coffee Mug Set,2,2010-01-08,15.99,100734,Italy,31.98
50307,C003,Premium Gift Box Set,14,2010-01-08,29.99,100207,United Kingdom,419.85999999999996
50308,C003,Premium Gift Box Set,15,2010-01-08,29.99,100318,United Kingdom,449.84999999999997
50309,I009,Silver Earrings,8,2010-01-08,19.99,100260,United Kingdom,159.92
50310,D004,Leather Journal,5,2010-01-08,12.99,100366,Italy,64.95
50311,C003,Premium Gift Box Set,25,2010-01-08,29.99,100340,United Kingdom,749.75
50312,C003,Premium Gift Box Set,16,2010-01-08,29.99,100448,United Kingdom,479.84
50313,G007,Silk Scarf,6,2010-01-08,22.99,100192,United Kingdom,137.94
50314,F006,Wooden Photo Frame,9,2010-01-08,9.99,100274,United Kingdom,89.91
50315,B002,Decorative Wall Clock,7,2010-01-08,24.99,100617,United Kingdom,174.92999999999998
50316,F006,Wooden Photo Frame,2,2010-01-08,9.99,100082,United Kingdom,19.98
50317,H008,Chocolate Gift Box,4,2010-01-09,14.99,100126,United Kingdom,59.96
50318,I009,Silver Earrings,9,2010-01-09,19.99,100298,United Kingdom,179.91
50319,C003,Premium Gift Box Set,14,2010-01-09,29.99,100408,USA,419.85999999999996
50320,G007,Silk Scarf,10,2010-01-09,22.99,100076,United Kingdom,229.89999999999998
50321,I009,Silver Earrings,10,2010-01-09,19.99,100187,Italy,199.89999999999998
50322,C003,Premium Gift Box Set,12,2010-01-09,29.99,100355,United Kingdom,359.88
50323,J010,Wool Blanket,5,2010-01-09,27.99,100667,United Kingdom,139.95
50324,F006,Wooden Photo Frame,10,2010-01-09,9.99,100148,United Kingdom,99.9
